Treatment.ID,Plate.ID,Worm,Death.Date,Cause ,D1,Age ,Event,Inf
F,21,1,13-Sep,W,04-Sep,9,0,0
F,21,2,20-Sep,W,04-Sep,16,0,0
F,21,3,20-Sep,D,04-Sep,16,1,0
F,21,4,21-Sep,D,04-Sep,17,1,0
F,21,5,23-Sep,D,04-Sep,19,1,0
F,21,6,25-Sep,D,04-Sep,21,1,0
F,21,7,26-Sep,D,04-Sep,22,1,0
F,21,8,26-Sep,D,04-Sep,22,1,0
F,21,9,27-Sep,D,04-Sep,23,1,0
F,21,10,29-Sep,D,04-Sep,25,1,0
DRO,22,1,19-Sep,D,04-Sep,15,1,0
DRO,22,2,24-Sep,D,04-Sep,20,1,0
DRO,22,3,27-Sep,D,04-Sep,23,1,0
DRO,22,4,27-Sep,D,04-Sep,23,1,0
DRO,22,5,28-Sep,D,04-Sep,24,1,0
DRO,22,6,30-Sep,D,04-Sep,26,1,0
DRO,22,7,01-Oct,D,04-Sep,27,1,0
DRO,22,8,03-Oct,D,04-Sep,29,1,0
DRO,22,9,04-Oct,D,04-Sep,30,1,0
DRO,22,10,04-Oct,D,04-Sep,30,1,1
DR,23,1,16-Sep,E,04-Sep,12,0,0
DR,23,2,18-Sep,M,04-Sep,14,1,0
DR,23,3,23-Sep,D,04-Sep,19,1,0
DR,23,4,24-Sep,D,04-Sep,20,1,0
DR,23,5,25-Sep,D,04-Sep,21,1,0
DR,23,6,26-Sep,D,04-Sep,22,1,0
DR,23,7,26-Sep,D,04-Sep,22,1,0
DR,23,8,27-Sep,D,04-Sep,23,1,1
DR,23,9,29-Sep,D,04-Sep,25,1,1
DR,23,10,30-Sep,D,04-Sep,26,1,1
DRO,24,1,12-Sep,M,04-Sep,8,1,0
DRO,24,2,13-Sep,E,04-Sep,9,0,0
DRO,24,3,23-Sep,D,04-Sep,19,1,0
DRO,24,4,25-Sep,D,04-Sep,21,1,0
DRO,24,5,27-Sep,D,04-Sep,23,1,0
DRO,24,6,29-Sep,D,04-Sep,25,1,0
DRO,24,7,29-Sep,D,04-Sep,25,1,0
DRO,24,8,30-Sep,D,04-Sep,26,1,0
DRO,24,9,02-Oct,D,04-Sep,28,1,0
DRO,24,10,04-Oct,L,04-Sep,30,0,0
DR,25,1,25-Sep,D,04-Sep,21,1,0
DR,25,2,27-Sep,D,04-Sep,23,1,0
DR,25,3,29-Sep,D,04-Sep,25,1,0
DR,25,4,30-Sep,D,04-Sep,26,1,0
DR,25,5,30-Sep,D,04-Sep,26,1,0
DR,25,6,01-Oct,D,04-Sep,27,1,0
DR,25,7,02-Oct,D,04-Sep,28,1,0
DR,25,8,04-Oct,D,04-Sep,30,1,0
DR,25,9,05-Oct,D,04-Sep,31,1,0
DR,25,10,10-Oct,D,04-Sep,32,1,0
