Tube,Treatment,Rep,Day,No_worms,Block,Population
1,DR,1,7,11,1,1
2,DR,1,7,1,1,2
3,FO,1,7,35,1,3
4,FO,1,7,10,1,4
5,FO,1,7,5,1,5
6,FO,1,7,15,1,6
7,DRO,1,7,22,1,7
8,F,1,7,37,1,8
9,DRO,1,7,34,1,9
10,DR,1,7,2,1,10
11,DRO,1,7,18,1,11
12,DR,1,7,8,1,12
13,DRO,1,7,0,1,13
14,F,1,7,3,1,14
15,F,1,7,6,1,15
16,F,1,7,8,1,16
17,F,1,7,2,1,17
18,FO,1,7,0,1,18
19,DR,1,7,0,1,19
20,DRO,1,7,19,1,20
21,FO,1,7,63,1,21
22,F,1,7,3,1,22
23,DRO,1,7,55,1,23
24,DR,1,7,17,1,24
25,DRO,1,7,4,1,25
26,DRO,1,7,7,1,26
27,FO,1,7,23,1,27
28,DRO,1,7,0,1,28
29,DR,1,7,0,1,29
30,F,1,7,61,1,30
31,DR,1,7,11,1,31
32,F,1,7,58,1,32
33,F,1,7,40,1,33
34,DRO,1,7,24,1,34
35,FO,1,7,1,1,35
36,DR,1,7,0,1,36
37,FO,1,7,6,1,37
38,FO,1,7,0,1,38
39,DRO,1,7,8,1,39
40,DR,1,7,8,1,40
1,DR,2,7,12,1,1
2,DR,2,7,1,1,2
3,FO,2,7,31,1,3
4,FO,2,7,19,1,4
5,FO,2,7,4,1,5
6,FO,2,7,16,1,6
7,DRO,2,7,13,1,7
8,F,2,7,42,1,8
9,DRO,2,7,22,1,9
10,DR,2,7,3,1,10
11,DRO,2,7,3,1,11
12,DR,2,7,10,1,12
13,DRO,2,7,2,1,13
14,F,2,7,2,1,14
15,F,2,7,4,1,15
16,F,2,7,8,1,16
17,F,2,7,0,1,17
18,FO,2,7,0,1,18
19,DR,2,7,2,1,19
20,DRO,2,7,18,1,20
21,FO,2,7,64,1,21
22,F,2,7,0,1,22
23,DRO,2,7,43,1,23
24,DR,2,7,12,1,24
25,DRO,2,7,3,1,25
26,DRO,2,7,5,1,26
27,FO,2,7,20,1,27
28,DRO,2,7,3,1,28
29,DR,2,7,2,1,29
30,F,2,7,72,1,30
31,DR,2,7,12,1,31
32,F,2,7,48,1,32
33,F,2,7,55,1,33
34,DRO,2,7,32,1,34
35,FO,2,7,0,1,35
36,DR,2,7,1,1,36
37,FO,2,7,5,1,37
38,FO,2,7,1,1,38
39,DRO,2,7,13,1,39
40,DR,2,7,8,1,40
1,DR,3,7,28,1,1
2,DR,3,7,2,1,2
3,FO,3,7,54,1,3
4,FO,3,7,9,1,4
5,FO,3,7,1,1,5
6,FO,3,7,7,1,6
7,DRO,3,7,17,1,7
8,F,3,7,34,1,8
9,DRO,3,7,23,1,9
10,DR,3,7,0,1,10
11,DRO,3,7,9,1,11
12,DR,3,7,14,1,12
13,DRO,3,7,0,1,13
14,F,3,7,3,1,14
15,F,3,7,9,1,15
16,F,3,7,6,1,16
17,F,3,7,4,1,17
18,FO,3,7,0,1,18
19,DR,3,7,0,1,19
20,DRO,3,7,15,1,20
21,FO,3,7,25,1,21
22,F,3,7,0,1,22
23,DRO,3,7,36,1,23
24,DR,3,7,20,1,24
25,DRO,3,7,6,1,25
26,DRO,3,7,10,1,26
27,FO,3,7,15,1,27
28,DRO,3,7,0,1,28
29,DR,3,7,2,1,29
30,F,3,7,53,1,30
31,DR,3,7,25,1,31
32,F,3,7,47,1,32
33,F,3,7,36,1,33
34,DRO,3,7,33,1,34
35,FO,3,7,0,1,35
36,DR,3,7,2,1,36
37,FO,3,7,3,1,37
38,FO,3,7,0,1,38
39,DRO,3,7,9,1,39
40,DR,3,7,8,1,40
1,DR,4,7,8,1,1
2,DR,4,7,0,1,2
3,FO,4,7,50,1,3
4,FO,4,7,12,1,4
5,FO,4,7,6,1,5
6,FO,4,7,16,1,6
7,DRO,4,7,34,1,7
8,F,4,7,45,1,8
9,DRO,4,7,46,1,9
10,DR,4,7,2,1,10
11,DRO,4,7,3,1,11
12,DR,4,7,12,1,12
13,DRO,4,7,0,1,13
14,F,4,7,1,1,14
15,F,4,7,4,1,15
16,F,4,7,6,1,16
17,F,4,7,4,1,17
18,FO,4,7,1,1,18
19,DR,4,7,0,1,19
20,DRO,4,7,25,1,20
21,FO,4,7,31,1,21
22,F,4,7,0,1,22
23,DRO,4,7,35,1,23
24,DR,4,7,19,1,24
25,DRO,4,7,8,1,25
26,DRO,4,7,9,1,26
27,FO,4,7,22,1,27
28,DRO,4,7,0,1,28
29,DR,4,7,1,1,29
30,F,4,7,69,1,30
31,DR,4,7,16,1,31
32,F,4,7,51,1,32
33,F,4,7,22,1,33
34,DRO,4,7,28,1,34
35,FO,4,7,0,1,35
36,DR,4,7,6,1,36
37,FO,4,7,7,1,37
38,FO,4,7,0,1,38
39,DRO,4,7,11,1,39
40,DR,4,7,11,1,40
1,DR,5,7,10,1,1
2,DR,5,7,2,1,2
3,FO,5,7,62,1,3
4,FO,5,7,20,1,4
5,FO,5,7,8,1,5
6,FO,5,7,16,1,6
7,DRO,5,7,24,1,7
8,F,5,7,48,1,8
9,DRO,5,7,53,1,9
10,DR,5,7,7,1,10
11,DRO,5,7,15,1,11
12,DR,5,7,14,1,12
13,DRO,5,7,0,1,13
14,F,5,7,1,1,14
15,F,5,7,8,1,15
16,F,5,7,5,1,16
17,F,5,7,5,1,17
18,FO,5,7,0,1,18
19,DR,5,7,1,1,19
20,DRO,5,7,26,1,20
21,FO,5,7,58,1,21
22,F,5,7,1,1,22
23,DRO,5,7,36,1,23
24,DR,5,7,16,1,24
25,DRO,5,7,10,1,25
26,DRO,5,7,8,1,26
27,FO,5,7,28,1,27
28,DRO,5,7,0,1,28
29,DR,5,7,1,1,29
30,F,5,7,54,1,30
31,DR,5,7,14,1,31
32,F,5,7,42,1,32
33,F,5,7,34,1,33
34,DRO,5,7,24,1,34
35,FO,5,7,0,1,35
36,DR,5,7,0,1,36
37,FO,5,7,10,1,37
38,FO,5,7,0,1,38
39,DRO,5,7,8,1,39
40,DR,5,7,17,1,40
1,DR,6,7,15,1,1
2,DR,6,7,5,1,2
3,FO,6,7,55,1,3
4,FO,6,7,7,1,4
5,FO,6,7,5,1,5
6,FO,6,7,20,1,6
7,DRO,6,7,24,1,7
8,F,6,7,39,1,8
9,DRO,6,7,43,1,9
10,DR,6,7,4,1,10
11,DRO,6,7,9,1,11
12,DR,6,7,5,1,12
13,DRO,6,7,0,1,13
14,F,6,7,6,1,14
15,F,6,7,9,1,15
16,F,6,7,14,1,16
17,F,6,7,4,1,17
18,FO,6,7,1,1,18
19,DR,6,7,1,1,19
20,DRO,6,7,27,1,20
21,FO,6,7,65,1,21
22,F,6,7,1,1,22
23,DRO,6,7,36,1,23
24,DR,6,7,21,1,24
25,DRO,6,7,7,1,25
26,DRO,6,7,6,1,26
27,FO,6,7,22,1,27
28,DRO,6,7,0,1,28
29,DR,6,7,0,1,29
30,F,6,7,39,1,30
31,DR,6,7,21,1,31
32,F,6,7,37,1,32
33,F,6,7,28,1,33
34,DRO,6,7,27,1,34
35,FO,6,7,1,1,35
36,DR,6,7,2,1,36
37,FO,6,7,13,1,37
38,FO,6,7,0,1,38
39,DRO,6,7,7,1,39
40,DR,6,7,14,1,40
1,DR,1,14,43,1,1
2,DR,1,14,165,1,2
3,FO,1,14,95,1,3
4,FO,1,14,48,1,4
5,FO,1,14,28,1,5
6,FO,1,14,60,1,6
7,DRO,1,14,208,1,7
8,F,1,14,143,1,8
9,DRO,1,14,396,1,9
10,DR,1,14,272,1,10
11,DRO,1,14,76,1,11
12,DR,1,14,157,1,12
13,DRO,1,14,18,1,13
14,F,1,14,65,1,14
15,F,1,14,57,1,15
16,F,1,14,34,1,16
17,F,1,14,97,1,17
18,FO,1,14,24,1,18
19,DR,1,14,1,1,19
20,DRO,1,14,56,1,20
21,FO,1,14,158,1,21
22,F,1,14,43,1,22
23,DRO,1,14,86,1,23
24,DR,1,14,48,1,24
25,DRO,1,14,59,1,25
26,DRO,1,14,113,1,26
27,FO,1,14,49,1,27
28,DRO,1,14,7,1,28
29,DR,1,14,60,1,29
30,F,1,14,63,1,30
31,DR,1,14,55,1,31
32,F,1,14,41,1,32
33,F,1,14,101,1,33
34,DRO,1,14,115,1,34
35,FO,1,14,73,1,35
36,DR,1,14,234,1,36
37,FO,1,14,123,1,37
38,FO,1,14,120,1,38
39,DRO,1,14,275,1,39
40,DR,1,14,11,1,40
1,DR,2,14,34,1,1
2,DR,2,14,136,1,2
3,FO,2,14,80,1,3
4,FO,2,14,80,1,4
5,FO,2,14,16,1,5
6,FO,2,14,31,1,6
7,DRO,2,14,48,1,7
8,F,2,14,161,1,8
9,DRO,2,14,481,1,9
10,DR,2,14,311,1,10
11,DRO,2,14,83,1,11
12,DR,2,14,147,1,12
13,DRO,2,14,17,1,13
14,F,2,14,93,1,14
15,F,2,14,41,1,15
16,F,2,14,23,1,16
17,F,2,14,115,1,17
18,FO,2,14,9,1,18
19,DR,2,14,7,1,19
20,DRO,2,14,77,1,20
21,FO,2,14,170,1,21
22,F,2,14,84,1,22
23,DRO,2,14,85,1,23
24,DR,2,14,46,1,24
25,DRO,2,14,70,1,25
26,DRO,2,14,105,1,26
27,FO,2,14,51,1,27
28,DRO,2,14,54,1,28
29,DR,2,14,64,1,29
30,F,2,14,63,1,30
31,DR,2,14,74,1,31
32,F,2,14,53,1,32
33,F,2,14,108,1,33
34,DRO,2,14,136,1,34
35,FO,2,14,21,1,35
36,DR,2,14,109,1,36
37,FO,2,14,135,1,37
38,FO,2,14,117,1,38
39,DRO,2,14,166,1,39
40,DR,2,14,14,1,40
1,DR,3,14,31,1,1
2,DR,3,14,160,1,2
3,FO,3,14,96,1,3
4,FO,3,14,51,1,4
5,FO,3,14,15,1,5
6,FO,3,14,45,1,6
7,DRO,3,14,160,1,7
8,F,3,14,162,1,8
9,DRO,3,14,450,1,9
10,DR,3,14,255,1,10
11,DRO,3,14,61,1,11
12,DR,3,14,157,1,12
13,DRO,3,14,10,1,13
14,F,3,14,124,1,14
15,F,3,14,40,1,15
16,F,3,14,25,1,16
17,F,3,14,53,1,17
18,FO,3,14,18,1,18
19,DR,3,14,6,1,19
20,DRO,3,14,66,1,20
21,FO,3,14,165,1,21
22,F,3,14,65,1,22
23,DRO,3,14,102,1,23
24,DR,3,14,56,1,24
25,DRO,3,14,65,1,25
26,DRO,3,14,108,1,26
27,FO,3,14,36,1,27
28,DRO,3,14,7,1,28
29,DR,3,14,68,1,29
30,F,3,14,80,1,30
31,DR,3,14,95,1,31
32,F,3,14,51,1,32
33,F,3,14,96,1,33
34,DRO,3,14,154,1,34
35,FO,3,14,69,1,35
36,DR,3,14,239,1,36
37,FO,3,14,194,1,37
38,FO,3,14,138,1,38
39,DRO,3,14,208,1,39
40,DR,3,14,5,1,40
1,DR,4,14,31,1,1
2,DR,4,14,161,1,2
3,FO,4,14,82,1,3
4,FO,4,14,20,1,4
5,FO,4,14,16,1,5
6,FO,4,14,69,1,6
7,DRO,4,14,239,1,7
8,F,4,14,136,1,8
9,DRO,4,14,433,1,9
10,DR,4,14,279,1,10
11,DRO,4,14,113,1,11
