Block,Treatment,ID,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Lost
1,DR,58,0,22,50,88,53,32,0,0,0,0,MAT
1,FO,59,45,86,96,105,81,83,52,34,28,6,N
1,F,60,29,142,153,159,74,69,38,34,23,0,MAT
1,DR,61,0,42,86,126,102,NA,NA,NA,NA,NA,L
1,F,62,32,136,138,107,64,61,24,21,NA,NA,INF
1,DR,63,3,33,45,47,40,40,45,26,23,16,N
1,FO,64,44,155,166,147,45,28,22,9,2,0,N
1,F,65,50,151,83,4,0,0,0,0,NA,NA,INF
1,F,66,57,151,134,58,13,18,0,NA,NA,NA,INF
1,DR,67,6,29,59,79,65,55,43,20,4,4,N
1,F,68,59,153,156,35,18,0,0,0,0,0,MAT
1,F,69,71,175,144,74,85,54,43,37,38,18,N
1,FO,70,51,150,145,116,56,14,9,2,NA,NA,INF
1,F,71,66,119,91,12,1,0,0,0,0,0,INF
1,DRO,72,22,118,67,0,0,0,0,0,0,NA,INF
1,DR,73,8,34,72,77,28,6,7,NA,NA,NA,INF
1,FO,74,44,109,44,50,13,6,0,0,NA,NA,INF
1,DRO,75,41,104,127,9,1,0,0,0,0,0,INF
1,DRO,76,32,89,107,11,4,5,NA,NA,NA,NA,INF
1,F,77,50,127,78,39,23,3,2,2,NA,NA,INF
1,FO,78,31,104,84,38,2,1,0,0,0,0,INF
1,DR,79,2,18,60,95,46,10,3,NA,NA,NA,INF
1,DR,80,1,19,60,85,100,90,74,33,30,21,INF
1,FO,81,49,146,161,139,31,20,8,NA,NA,NA,INF
1,DRO,82,10,102,127,155,65,50,25,NA,NA,NA,L
1,DRO,83,24,97,118,78,31,13,5,NA,NA,NA,L
1,DR,84,1,40,72,94,76,69,30,15,7,12,MAT
1,DR,85,4,24,65,104,88,75,50,41,28,3,N
1,FO,86,38,114,134,NA,NA,NA,NA,NA,NA,NA,L
1,DRO,87,11,38,83,117,44,8,1,0,0,0,N
1,F,88,58,129,113,5,0,0,0,0,0,0,INF
1,F,89,42,143,142,112,49,46,31,12,17,17,MAT
1,DRO,90,33,97,103,24,28,13,1,3,0,0,N
1,F,91,56,147,144,132,59,42,12,6,0,0,MAT
1,F,92,44,91,69,44,28,32,9,14,6,0,N
1,DRO,93,0,38,74,97,75,74,39,31,21,11,N
1,FO,94,45,136,178,94,46,36,38,15,7,0,MAT
1,FO,95,34,139,164,129,66,47,43,30,12,0,MAT
1,DRO,96,11,90,108,112,80,71,61,38,15,10,MAT
1,DRO,97,15,88,117,148,106,77,70,60,36,27,N
1,FO,98,27,130,170,151,96,52,37,29,35,13,MAT
1,DR,99,NA,27,77,112,116,45,4,0,1,1,MAT
1,F,100,45,145,137,0,NA,NA,NA,NA,NA,NA,L
1,FO,101,36,118,159,99,52,30,30,18,13,8,MAT
1,DRO,102,NA,39,71,95,76,59,23,24,21,4,MAT
1,DR,103,NA,31,78,99,66,25,24,27,17,8,MAT
1,DR,104,NA,30,72,99,22,2,0,0,0,0,N
1,DRO,105,NA,43,84,128,119,118,92,49,26,11,MAT
1,DR,106,NA,31,59,95,47,40,46,35,15,4,N
1,FO,107,30,61,37,40,26,20,17,25,18,13,N
1,DR,108,NA,28,57,100,106,103,37,18,1,0,N
1,F,109,54,163,165,128,88,58,50,31,21,9,MAT
1,DR,110,NA,29,60,67,47,30,7,0,0,0,N
1,F,111,53,153,97,74,48,38,24,27,9,15,N
1,DRO,112,NA,40,63,82,49,52,49,29,9,0,N
1,F,113,46,138,158,121,51,44,36,40,20,0,MAT
1,DRO,114,NA,32,69,106,103,85,80,60,47,32,N
1,DR,115,NA,30,70,109,106,71,49,32,23,7,N
1,DRO,116,NA,47,71,88,47,45,36,32,25,30,N
1,DRO,117,NA,28,71,102,47,33,0,1,0,0,N
1,F,118,64,134,139,80,53,34,39,38,30,12,N
1,FO,119,37,135,121,177,122,72,28,15,NA,NA,L
1,DR,120,NA,30,65,94,50,28,14,0,0,0,MAT
